1001,3.3157894736842106,19
1002,3.6956521739130435,23
1003,3.0,5
1004,3.0,5
1005,3.0,5
1006,3.0,5
1007,3.4285714285714284,7
1008,3.3333333333333335,6
1009,3.0,5
1010,3.375,8
1011,3.0,5
1012,3.0,6
1013,3.3333333333333335,6
1014,3.142857142857143,7
1015,3.0,5
1016,3.0,5
1017,3.3333333333333335,6
1018,3.0,5
1019,3.3333333333333335,6
1020,3.0,5
1021,3.0,5
1022,3.0,5
1023,3.0,6
1024,3.5714285714285716,7
1025,3.0,5
1026,3.0,5
1027,3.0,5
1028,3.0,5
1029,3.1666666666666665,6
1030,3.0,5
